Order,Creation Date,Total Value,Client Hash
1475651372086-01,2024-11-11 02:24:16+00:00,111.38,3317813f2ca2bcc508acba49481b7ada193175c33531d46b3a514075ad7ee620
1475361371953-01,2024-11-09 21:00:31+00:00,145.66,3ba3d9814b4b96596014461f9573274aa49ad7717105cf8e92a4e2d9b0da254b
1475651372084-01,2024-11-11 02:19:46+00:00,621.0,9d500f27b65184211b1bab328626d431069a5690516db538c54cf934a4f823ce
1475651372084-01,2024-11-11 02:19:46+00:00,621.0,9d500f27b65184211b1bab328626d431069a5690516db538c54cf934a4f823ce
1475651372084-01,2024-11-11 02:19:46+00:00,621.0,9d500f27b65184211b1bab328626d431069a5690516db538c54cf934a4f823ce
1475651372084-01,2024-11-11 02:19:46+00:00,621.0,9d500f27b65184211b1bab328626d431069a5690516db538c54cf934a4f823ce
1475361371951-01,2024-11-09 20:35:00+00:00,623.88,95ae0f67e4bd72019bcb232ad82394d952bc37c68b05a5aed5015d43ff76fe34
1475361371951-01,2024-11-09 20:35:00+00:00,623.88,95ae0f67e4bd72019bcb232ad82394d952bc37c68b05a5aed5015d43ff76fe34
1475361371951-01,2024-11-09 20:35:00+00:00,623.88,95ae0f67e4bd72019bcb232ad82394d952bc37c68b05a5aed5015d43ff76fe34
1475361371951-01,2024-11-09 20:35:00+00:00,623.88,95ae0f67e4bd72019bcb232ad82394d952bc37c68b05a5aed5015d43ff76fe34
1475641372080-01,2024-11-11 00:48:07+00:00,121.06,e125eb6dede9b514b59d959b172e5e72c7660aae48801cf81b77accbaaf150bc
1475641372080-01,2024-11-11 00:48:07+00:00,121.06,e125eb6dede9b514b59d959b172e5e72c7660aae48801cf81b77accbaaf150bc
1475631372076-01,2024-11-11 00:07:18+00:00,174.13,ee9de577e99ce60d22274303b41a219d7cf0ec632b537cb08d6140046e5e478a
1475631372076-01,2024-11-11 00:07:18+00:00,174.13,ee9de577e99ce60d22274303b41a219d7cf0ec632b537cb08d6140046e5e478a
1475351371947-01,2024-11-09 19:41:46+00:00,299.9,ddc05f84b26804428cfe97cd169236bd0d5e244477c98a87abb43e953819665e
1475351371947-01,2024-11-09 19:41:46+00:00,299.9,ddc05f84b26804428cfe97cd169236bd0d5e244477c98a87abb43e953819665e
