client_hash,recency,frequency,monetary
0046dbd89b639b8403da8953468981a192b3a23f066dbbb03337de78fdf7365c,245,1,249.09
0048f560cd26b5704d6a902dcac9348c71dbb3a555a37b437b9721a3cc9a0c97,81,3,1292.56
004e24b0e1be0410c7997696b0cc8c3dc1206642870de67c09ff51271157094d,532,1,334.72
0050574970c53efa82629d90a958d0db269b3155657513c3c4fbfd9c02a4f51f,487,2,464.55
005429d9b606e71a1d85da6a48fa701cb3db64784cced011be422863f82322ca,337,1,650.0
0054574e061d24e098b95982b51da0dfbfa96f6473998584c9d4acfb16ae9fb2,549,1,164.17
00581c28966a4e31a7d743e12c116580a942af54b9c62c9edffd9d6e7bf05f5c,489,1,143.16
005918d58c2225a2ae6f8f6127ae835dac406f5ecf937b7b8760f4cd02c6ffc4,561,1,167.76
005b3737c072b59bb8055d5339f346fa303f36c86cb693265f529ba00f853e95,643,1,89.7
005f7fe8c28922a818edc68281ca816d6cc9aa204d4b8909acc31e797efd6e32,322,2,333.59003
005f8157b16854275c55cb21f982efd2b9005cbb1742915ea6a08ab4dc29e54d,260,1,96.35
0061bddeb5a15aeb07a644d552b641dca7c0b09ea20fc1cba05f9e4ea8bc846a,2,13,4101.29
0062ee8aaccd8ec45d38bcb9bdecc527e4e82c0308ab4feedc32ef9d93392a78,420,1,255.31
0063a282970fe1d05f0e9c20eea2b90c27fd9cf0c795f4c6fe774d65824c32c4,28,1,425.0
006568418f2c5d59f40a4c212f0ef5d35445bdac13beaf27ded240cc9f71082c,457,1,195.13
0068b4579ff368a56e9f1b0dfc8bda974844fc986c7bd5a2a057df0509f31f80,427,1,148.81
0068de139b343f3d86c2e1150bd87d178a12eff87c7b74a615cd9d119f6d1ea9,355,1,192.75
006afba3aae7b21b5e4e4c8315426416edc5c10f68373bbfdb16ca8e7c54361c,450,1,127.1
006b98ff12319b8b367aed3566c393af792698bc25637f7a08491aaf3fbfd579,632,1,149.3
006be5096882e046e64c2ddef08a867d67e5667ff0d3de1e4af0cb8cfce8fc00,481,1,133.26
006c7220825dbc9a932c43d3a28822c9fc01a557c1c7f35b9cc4c56a31f4c34f,551,1,315.68
006cb961918db17cba57a51a212de5cc1192d665485333297ca085de10dd85ae,41,1,405.0
006f79a8c757bb57e02786abceaa4c03b565024c075cbaebc6f07693468f8853,489,1,215.8
0073261bd8e92dcdb52db29094902eda187e521852938f039fdfcd46421cf3e1,535,1,104.91
0075b4cd509ddc7125224dba082f129c208f869261927497ccc33b889664fe99,558,1,115.78
0075ce32aa24405d7bb0d47d612f338237f23fec76bacbd624a7a67d9a5c4d0a,515,3,648.64
00766306bebae09846b4bfcdc8bd6da03a6a11042022e10198b773436ddd4e5d,230,1,168.73
0077c2ef1cc37f21d64ecc1e3950bd7d85bc5b998a845ef7c7d755da0022b534,130,1,158.9
00782607269d0f67c3c1a1432fd402d779728ddfefcf9d7177adee4feda0fc99,22,1,280.88
00792935914d574ea7df09db026c65a6c58f6e11bbbb6c15327ef0b39db56ed6,515,5,791.73
007c101eb40100c4f00a86320b8bb0ef0d214369804b9dc29a4ade8fec8a65d4,611,1,138.56
007e737eb61684f6ca2467f1fb7532c4193d92885b334dfbf9004fd7cf502b2c,123,1,138.05
0081bcb2b01bbe998a5d9338ea93ea455deca74d542189a30536f27045babc86,503,1,142.76
00822f4c6691f9e376c9da8f42978e808d508299b367029beb5c4e0f7260eb95,287,2,570.41003
00878efe0f974917c2489238d84150ee558ebee61aca4085d48aae6404e9fd96,522,1,775.0
0089129d7d9aa31c3ee01c595e236a5b6ea4715554fc510ee3d827d8fc9f34e1,298,5,824.49
008aebc33b31eb6af3692b6e27d704bbfe3d3bc9e2ccbfd97e89f225538ffafe,263,1,117.96
008e143a76d1709095749099d4e9e691013ed9e59a7a5048fd9f7d3d75764092,308,1,119.18
008ed5fb71202918562653a47a23ccc6982641bd9e726bc83daaf16555f6e15f,554,1,185.7
008f49a516a1544d40b32aa62d2c2c3e90b47583c2899a66abf028b48eeb3186,635,1,162.49
009174f7be529c1c8f503aff48c5181607b26cf0414c969bcb2a984012c165fa,333,1,163.51
0091e6e4d9addd0e689e2d7aad555db58c64dcdeea62ab12d91ce5fff2f9501e,310,1,160.88
0093eef4091b629fe08511cdb4d78d71dac3ca5524be3d7ff01b6128ec74a588,665,1,162.49
0094e7654b6aad4eacffa5f8ceb6d7a33ad057b3785ddcf9fdcf23ffb3a8d8df,59,1,158.17
0095043a7a753ceb00c0baa9a049839839ba93f87d5296804a8793cf691bdd06,330,1,109.35
00963dc7f1fc47d8e04afd48a4589c1b89f7f0685923a02bf9a0313b49b09d4c,111,1,128.02
009b4f8d18359f1c20ec95a94d32fea2d9989ec47fa5a171817685b27cc4dcf2,462,1,270.88
009cadc27fd4b0754e17520499c9ab1be1b50399dc81c39e8922171033993451,73,5,955.13
009da6c154f72f9d3aa4226c7509044fb878d53dca4257b033e52e1e4ce9b90f,243,2,861.19
009ea3ac891b6673e83a3c7496270addbd3702bdbc8df269a0b5e80f35a505b4,346,1,377.0
009f6a22faa334843abc13eeaeb6d78d4c9d8eacb8cc0215d9b794bb7970484a,461,1,112.29
009fce91ad81713e7838eba36c1bad82a3718f51358ef608e59b5855310e5100,559,1,368.45
